t (seconds)	θ (degrees)	uncertainty t (type b)	uncertainty θ (type b, based on the precision of tracker app's autotracker measurements which can vary because of motion blur, estimated to be on the magnitude of +-1 degree)
24.06667	-67.31626	0.01	1
24.1	-69.44851	0.01	1
24.13333	-69.00799	0.01	1
24.16667	-66.18149	0.01	1
24.2	-62.03949	0.01	1
24.23333	-59.07326	0.01	1
24.26667	-52.53592	0.01	1
24.3	-42.52529	0.01	1
24.33333	-32.69412	0.01	1
24.36667	-20.08861	0.01	1
24.4	-9.440407	0.01	1
24.43333	3.355279	0.01	1
24.46667	17.52105	0.01	1
24.5	29.47682	0.01	1
24.53333	40.36206	0.01	1
24.56667	49.9035	0.01	1
24.6	58.08038	0.01	1
24.63333	64.31458	0.01	1
24.66667	68.34118	0.01	1
24.7	68.90531	0.01	1
24.73333	69.23574	0.01	1
24.76667	67.47106	0.01	1
24.8	63.50354	0.01	1
24.83333	58.82538	0.01	1
24.86667	50.73059	0.01	1
24.9	41.35116	0.01	1
24.93333	30.41698	0.01	1
24.96667	19.38549	0.01	1
25	6.924845	0.01	1
25.03333	-6.134657	0.01	1
25.06667	-18.65617	0.01	1
25.1	-28.04596	0.01	1
25.13333	-38.88786	0.01	1
25.16667	-48.49341	0.01	1
25.2	-55.534	0.01	1
25.23333	-60.82841	0.01	1
25.26667	-65.71708	0.01	1
25.3	-67.63297	0.01	1
25.33333	-68.00311	0.01	1
25.36667	-66.07525	0.01	1
25.4	-62.94043	0.01	1
25.43333	-57.28499	0.01	1
25.46667	-50.3893	0.01	1
25.5	-39.92661	0.01	1
25.53333	-28.34034	0.01	1
25.56667	-19.22214	0.01	1
25.6	-7.717262	0.01	1
25.63333	6.139428	0.01	1
25.66667	18.22027	0.01	1
25.7	31.3463	0.01	1
25.73333	41.68471	0.01	1
25.76667	51.20682	0.01	1
25.8	59.22157	0.01	1
25.83333	64.83994	0.01	1
25.86667	67.04845	0.01	1
25.9	69.71562	0.01	1
25.93333	68.99926	0.01	1
25.96667	67.90234	0.01	1
26	64.64375	0.01	1
26.03333	60.84912	0.01	1
26.06667	53.65682	0.01	1
26.1	45.45463	0.01	1
26.13333	35.53532	0.01	1
26.16667	24.46578	0.01	1
26.2	10.00033	0.01	1
26.23333	-2.678974	0.01	1
26.26667	-13.66647	0.01	1
26.3	-26.61804	0.01	1
26.33333	-36.46277	0.01	1
26.36667	-44.55405	0.01	1
26.4	-52.39551	0.01	1
26.43333	-58.46207	0.01	1
26.46667	-63.94393	0.01	1
26.5	-66.481	0.01	1
26.53333	-67.20342	0.01	1
26.56667	-66.06249	0.01	1
26.6	-62.89582	0.01	1
26.63333	-58.62394	0.01	1
26.66667	-51.96925	0.01	1
26.7	-43.55202	0.01	1
26.73333	-31.82104	0.01	1
26.76667	-23.38977	0.01	1
26.8	-9.349801	0.01	1
26.83333	1.46918	0.01	1
26.86667	15.27936	0.01	1
26.9	26.64274	0.01	1
26.93333	38.175	0.01	1
26.96667	47.19481	0.01	1
27	55.39344	0.01	1
27.03333	62.11281	0.01	1
27.06667	66.78358	0.01	1
27.1	67.395	0.01	1
27.13333	67.96934	0.01	1
27.16667	66.27475	0.01	1
27.2	63.22107	0.01	1
27.23333	57.42308	0.01	1
27.26667	49.63927	0.01	1
27.3	40.27189	0.01	1
27.33333	29.38885	0.01	1
27.36667	18.82069	0.01	1
27.4	7.836404	0.01	1
27.43333	-5.101344	0.01	1
27.46667	-16.9292	0.01	1
27.5	-23.70666	0.01	1
27.53333	-33.62056	0.01	1
27.56667	-43.26882	0.01	1
27.6	-50.84036	0.01	1
27.63333	-57.43662	0.01	1
27.66667	-61.82653	0.01	1
27.7	-65.81821	0.01	1
27.73333	-66.91723	0.01	1
27.76667	-66.13932	0.01	1
27.8	-63.36344	0.01	1
27.83333	-59.05056	0.01	1
27.86667	-53.32728	0.01	1
27.9	-43.26882	0.01	1
27.93333	-34.23125	0.01	1
27.96667	-22.62034	0.01	1
